Source_Language,Word,First_Use_Year,MW_Included,Category,Max_Frequency,Mean_Frequency,Non_Zero_Years,Is_Multi_Source,Source_Count
纳瓦特尔语,sweet potato,1750,1,蔬菜,8.750177309073999e-07,3.572205669661973e-07,221.0,0,1
波斯语,raisin,14世纪,1,水果,8.145428377507155e-07,3.615742995850738e-07,221.0,1,3
土耳其语,yogurt,1625,1,乳制品,2.9574084042646324e-06,3.674720958490583e-07,198.0,0,1
意大利语,spaghetti,1874,1,面食,1.9035687890729088e-06,3.679931087047294e-07,211.0,0,1
土耳其语,basil,15世纪,1,调味品,2.2096898776778417e-06,3.686084806422069e-07,221.0,0,1
法语,mayonnaise,1845,1,调味品,1.3400396353193045e-06,3.7212961206611093e-07,221.0,0,1
纳瓦特尔语,chili,1604,1,调味品,2.103104666925252e-06,3.724236290401693e-07,221.0,1,3
法语,bouillon,1656,1,汤底,1.8364778660335496e-06,3.848081229021036e-07,221.0,0,1
意大利语,broccoli,1699,1,蔬菜,1.8242582200400648e-06,3.976078511736754e-07,221.0,1,2
西班牙语,barbecue,1689,1,烹饪法,2.1941838862663384e-06,3.999312431960153e-07,221.0,0,1
纳瓦特尔语,coca,1670,1,植物,1.2487617401088106e-06,4.088600635050853e-07,221.0,0,1
阿拉伯语,turmeric,15世纪,1,调味品,1.0824483313496915e-06,4.08924443025766e-07,221.0,0,1
土耳其语,squid,1613,1,海鲜,1.5325755709584752e-06,4.092201866179473e-07,221.0,0,1
印地语/乌尔都语,dal,1673,1,主食,1.2866132124145224e-06,4.54279076535607e-07,221.0,0,1
土耳其语,mussel,12世纪,1,海鲜,1.2472186361784615e-06,4.572770492597386e-07,221.0,0,1
阿拉伯语,citron,1530,1,水果,9.696207387475757e-07,4.5806746335863124e-07,221.0,0,1
